date,gsc_status,impressions,avg_position,top10_pages,ctr,clicks,cta_plus_copy,cvr,ai_sessions,restored_imp,restored_clicks,cta_plus_copy_jp,cvr_jp,earner_pages,ga4_status
2026-05-15,ok,703,24.28,2,1.42,10,0,0.0,3,80,3,0,0.0,0,ok
2026-05-16,ok,843,24.3,2,1.42,12,0,0.0,3,83,3,0,0.0,0,ok
2026-05-17,ok,1029,24.45,2,1.46,15,0,0.0,3,86,3,0,0.0,1,ok
2026-05-18,ok,1166,23.92,2,1.54,18,0,0.0,5,87,3,0,0.0,1,ok
2026-05-19,ok,1296,23.82,2,1.47,19,0,0.0,5,88,4,0,0.0,1,ok
2026-05-20,ok,1424,23.75,2,1.33,19,0,0.0,5,91,4,0,0.0,1,ok
2026-05-21,ok,1578,23.5,2,1.46,23,0,0.0,6,95,4,0,0.0,1,ok
2026-05-22,ok,1691,23.61,2,1.48,25,0,0.0,6,96,4,0,0.0,1,ok
2026-05-23,ok,1831,23.69,2,1.42,26,2,7.69,9,97,4,2,7.69,1,ok
2026-05-24,ok,1942,23.66,2,1.39,27,2,7.41,9,98,4,2,7.41,1,ok
2026-05-25,ok,2046,23.66,2,1.56,32,4,12.5,9,98,4,4,12.5,1,ok
2026-05-26,ok,2150,23.71,2,1.49,32,4,12.5,9,98,4,4,12.5,1,ok
2026-05-27,ok,2259,23.62,2,1.46,33,4,12.12,9,98,4,4,12.12,1,ok
2026-05-28,ok,2400,23.61,2,1.46,35,5,14.29,9,98,4,5,14.29,1,ok
2026-05-29,ok,2521,23.47,2,1.47,37,6,16.22,9,98,4,5,13.51,1,ok
2026-05-30,ok,2618,23.52,1,1.53,40,6,15.0,9,98,4,5,12.5,1,ok
2026-05-31,ok,2671,23.62,1,1.54,41,6,14.63,9,98,4,5,12.2,1,ok
2026-06-01,ok,2724,23.64,1,1.54,42,6,14.29,9,98,4,5,11.9,1,ok
2026-06-02,ok,2798,23.57,1,1.5,42,6,14.29,9,98,4,5,11.9,1,ok
2026-06-03,ok,2874,23.5,1,1.5,43,6,13.95,11,98,4,5,11.63,1,ok
2026-06-04,ok,2937,23.44,1,1.46,43,7,16.28,12,92,4,5,11.63,1,ok
2026-06-05,ok,2966,23.43,1,1.45,43,7,16.28,12,86,4,5,11.63,1,ok
2026-06-06,ok,2957,23.31,1,1.45,43,7,16.28,13,81,4,5,11.63,1,ok
2026-06-07,ok,2944,23.13,1,1.56,46,7,15.22,13,74,4,5,10.87,2,ok
2026-06-08,ok,2923,23.18,1,1.51,44,7,15.91,13,66,3,5,11.36,2,ok
2026-06-09,ok,2884,23.32,1,1.53,44,7,15.91,13,50,3,5,11.36,2,ok
2026-06-10,ok,2893,23.22,1,1.52,44,7,15.91,13,36,3,5,11.36,2,ok
2026-06-11,ok,2870,23.27,1,1.43,41,7,17.07,10,31,2,5,12.2,2,ok
2026-06-12,ok,2856,23.08,2,1.54,44,7,15.91,10,27,2,5,11.36,2,ok
2026-06-13,ok,2826,22.97,2,1.56,44,7,15.91,10,23,1,5,11.36,2,ok
2026-06-14,ok,2760,23.19,2,1.59,44,7,15.91,10,21,1,5,11.36,2,ok
2026-06-15,ok,2671,23.16,2,1.61,43,8,18.6,10,18,1,5,11.63,2,ok
2026-06-16,ok,2526,23.09,2,1.62,41,8,19.51,10,15,1,5,12.2,1,ok
2026-06-17,ok,2434,23.33,2,1.6,39,8,20.51,8,14,1,5,12.82,1,ok
2026-06-18,ok,2361,23.34,2,1.61,38,8,21.05,8,13,0,5,13.16,1,ok
2026-06-19,ok,2299,23.23,2,1.87,43,8,18.6,9,10,0,5,11.63,2,ok
2026-06-20,ok,2222,23.23,2,1.85,41,8,19.51,8,6,0,5,12.2,2,ok
2026-06-21,ok,2170,23.0,2,1.8,39,8,20.51,8,5,0,5,12.82,2,ok
2026-06-22,ok,2090,22.79,2,1.82,38,6,15.79,5,4,0,3,7.89,2,ok
2026-06-23,ok,2020,22.85,2,1.88,38,6,15.79,5,3,0,3,7.89,2,ok
2026-06-24,ok,1971,22.73,2,1.73,34,4,11.76,5,3,0,1,2.94,2,ok
2026-06-25,ok,1941,22.62,2,1.91,37,4,10.81,5,3,0,1,2.7,2,ok
2026-06-26,ok,1898,22.68,2,1.95,37,4,10.81,5,3,0,1,2.7,1,ok
2026-06-27,ok,1814,22.51,2,2.04,37,3,8.11,5,3,0,0,0.0,2,ok
2026-06-28,ok,1760,22.59,1,1.99,35,2,5.71,5,3,0,0,0.0,2,ok
2026-06-29,ok,1749,22.47,1,1.89,33,2,6.06,5,3,0,0,0.0,2,ok
2026-06-30,ok,1743,22.4,1,1.89,33,2,6.06,5,3,0,0,0.0,2,ok
2026-07-01,ok,1772,22.18,1,1.86,33,2,6.06,5,3,0,0,0.0,2,ok
2026-07-02,ok,1778,22.2,1,1.86,33,2,6.06,5,3,0,0,0.0,2,ok
2026-07-03,ok,1772,22.35,1,1.81,32,2,6.25,3,3,0,0,0.0,2,ok
2026-07-04,ok,1783,22.21,1,1.91,34,4,11.76,2,3,0,3,8.82,2,ok
2026-07-05,ok,1810,22.1,1,1.93,35,4,11.43,2,3,0,3,8.57,2,ok
2026-07-06,ok,1828,22.09,2,1.81,33,4,12.12,2,2,0,3,9.09,2,ok
2026-07-07,ok,1811,22.18,2,1.77,32,4,12.5,2,1,0,3,9.38,2,ok
2026-07-08,ok,1847,21.76,2,1.79,33,4,12.12,3,1,0,3,9.09,2,ok
2026-07-09,ok,1904,21.37,2,1.94,37,4,10.81,4,1,0,3,8.11,2,ok
2026-07-10,ok,1934,21.09,2,1.96,38,4,10.53,5,1,0,3,7.89,2,ok
2026-07-11,ok,1963,20.94,2,2.14,42,4,9.52,5,1,0,3,7.14,2,ok
2026-07-12,ok,1983,20.69,2,2.17,43,4,9.3,5,0,0,3,6.98,4,ok
2026-07-13,ok,1980,20.73,2,2.12,42,4,9.52,5,0,0,3,7.14,4,ok
2026-07-14,ok,2040,20.33,3,2.01,41,4,9.76,6,0,0,3,7.32,4,ok
2026-07-15,ok,2079,20.07,3,2.02,42,3,7.14,6,0,0,3,7.14,4,ok
2026-07-16,ok,2146,19.82,3,1.91,41,3,7.32,6,0,0,3,7.32,4,ok
2026-07-17,ok,2210,19.58,3,1.99,44,3,6.82,6,0,0,3,6.82,4,ok
2026-07-18,ok,2319,19.72,3,2.03,47,3,6.38,6,0,0,3,6.38,4,ok
2026-07-19,ok,2379,19.81,3,1.89,45,3,6.67,5,0,0,3,6.67,5,ok
2026-07-20,ok,2387,19.76,4,1.8,43,3,6.98,5,0,0,3,6.98,5,ok
2026-07-21,ok,2425,19.65,4,1.77,43,3,6.98,5,0,0,3,6.98,5,ok
2026-07-22,ok,2466,19.77,4,1.78,44,3,6.82,5,0,0,3,6.82,5,ok
2026-07-23,ok,2538,19.46,5,1.69,43,3,6.98,5,0,0,3,6.98,4,ok
2026-07-24,ok,2634,19.4,5,1.78,47,4,8.51,5,0,0,4,8.51,5,ok
2026-07-25,ok,2687,19.07,5,1.79,48,4,8.33,5,0,0,4,8.33,5,ok
2026-07-26,ok,2734,18.62,5,1.83,50,4,8.0,5,0,0,4,8.0,5,ok
2026-07-27,ok,2777,18.33,5,1.8,50,6,12.0,5,0,0,4,8.0,6,ok
2026-07-28,ok,2797,18.07,5,1.79,50,6,12.0,5,0,0,4,8.0,6,ok
2026-07-29,ok,2817,17.71,7,1.81,51,6,11.76,6,0,0,4,7.84,6,ok
2026-07-30,ok,2870,17.3,7,1.78,51,6,11.76,6,0,0,4,7.84,5,ok
2026-07-31,ok,2896,17.05,7,1.97,57,6,10.53,6,0,0,4,7.02,5,ok
2026-08-01,ok,2963,16.61,7,1.96,58,6,10.34,6,0,0,4,6.9,6,ok
2026-08-02,ok,3029,16.54,6,1.91,58,6,10.34,6,0,0,4,6.9,6,ok
2026-08-03,ok,3025,16.55,6,1.88,57,3,5.26,6,0,0,1,1.75,6,ok
2026-08-04,ok,3016,16.55,6,1.86,56,3,5.36,6,0,0,1,1.79,6,ok
2026-08-05,ok,3053,16.31,6,1.9,58,3,5.17,5,0,0,1,1.72,6,ok
2026-08-06,ok,3131,16.1,6,1.95,61,4,6.56,5,0,0,2,3.28,6,ok
2026-08-07,ok,3165,16.06,6,1.93,61,4,6.56,5,0,0,2,3.28,5,ok
2026-08-08,ok,3180,15.92,6,1.79,57,4,7.02,5,0,0,2,3.51,4,ok
2026-08-09,ok,3196,15.86,6,1.75,56,12,21.43,6,0,0,2,3.57,4,ok
2026-08-10,ok,3219,15.63,6,1.65,53,12,22.64,6,0,0,2,3.77,4,ok
2026-08-11,ok,3211,15.56,6,1.59,51,14,27.45,6,0,0,4,7.84,4,ok
2026-08-12,ok,3237,15.37,6,1.58,51,15,29.41,6,0,0,5,9.8,4,ok
2026-08-13,ok,3227,15.38,6,1.61,52,15,28.85,5,0,0,5,9.62,4,ok
2026-08-14,ok,3250,15.29,6,1.57,51,15,29.41,5,0,0,5,9.8,4,ok
2026-08-15,ok,3225,15.14,6,1.58,51,15,29.41,5,0,0,5,9.8,4,ok
2026-08-16,ok,3227,15.02,6,1.46,47,15,31.91,5,0,0,5,10.64,3,ok
2026-08-17,ok,3161,14.63,6,1.42,45,15,33.33,5,0,0,5,11.11,3,ok
2026-08-18,ok,3118,14.33,6,1.41,44,15,34.09,5,0,0,5,11.36,3,ok
2026-08-19,ok,3128,14.28,5,1.41,44,16,36.36,5,0,0,6,13.64,3,ok
2026-08-20,ok,3145,14.18,5,1.53,48,16,33.33,5,5,2,6,12.5,4,ok
2026-08-21,ok,3195,13.79,5,1.6,51,16,31.37,5,11,2,6,11.76,4,ok
2026-08-22,ok,3203,13.72,5,1.72,55,16,29.09,5,21,3,6,10.91,5,ok
2026-08-23,ok,3156,13.42,5,1.68,53,15,28.3,5,28,4,5,9.43,5,ok
2026-08-24,ok,3115,13.38,5,1.7,53,15,28.3,5,30,4,5,9.43,4,ok
2026-08-25,ok,3106,13.5,5,1.61,50,17,34.0,5,33,4,7,14.0,4,ok
2026-08-26,ok,3108,13.56,5,1.61,50,15,30.0,5,40,4,7,14.0,5,ok
2026-08-27,ok,3165,13.57,5,1.64,52,15,28.85,5,47,4,7,13.46,7,ok
2026-08-28,ok,3230,13.61,5,1.58,51,15,29.41,4,58,4,7,13.73,6,ok
2026-08-29,ok,3266,13.7,5,1.53,50,15,30.0,4,65,4,7,14.0,6,ok
2026-08-30,ok,3312,13.74,5,1.33,44,18,40.91,4,73,4,10,22.73,7,ok
2026-08-31,ok,3256,13.94,5,1.35,44,18,40.91,4,75,4,10,22.73,6,ok
2026-09-01,ok,3248,13.83,5,1.35,44,18,40.91,4,80,4,10,22.73,6,ok
2026-09-02,ok,3307,13.76,5,1.33,44,18,40.91,4,90,4,10,22.73,7,ok
2026-09-03,ok,3381,13.78,5,1.33,45,18,40.0,4,94,4,10,22.22,7,ok
2026-09-04,ok,3419,13.73,5,1.35,46,18,39.13,4,102,4,10,21.74,8,ok
2026-09-05,ok,3445,13.68,5,1.22,42,17,40.48,4,117,4,9,21.43,8,ok
2026-09-06,ok,3476,13.65,5,1.29,45,17,37.78,3,132,4,9,20.0,8,ok
2026-09-07,ok,3492,13.58,5,1.35,47,21,44.68,3,137,4,13,27.66,8,ok
